#SPATIAL.ascii 1
SimpleDB {
  num-values =      1
  value-names =  initial_amplitude
  value-units =  Pa
  num-locs =   3000
  data-dim =    1
  space-dim =    2
  cs-data = cartesian {
  to-meters = 1
  space-dim = 2
}
}
  2.000000e+04 -2.806936e+04 -2.893679e+09
  2.000000e+04 -2.805935e+04 -2.891464e+09
  2.000000e+04 -2.804935e+04 -2.889250e+09
  2.000000e+04 -2.803935e+04 -2.887035e+09
  2.000000e+04 -2.802934e+04 -2.884820e+09
  2.000000e+04 -2.801934e+04 -2.882605e+09
  2.000000e+04 -2.800934e+04 -2.880390e+09
  2.000000e+04 -2.799933e+04 -2.878175e+09
  2.000000e+04 -2.798933e+04 -2.875961e+09
  2.000000e+04 -2.797933e+04 -2.873746e+09
  2.000000e+04 -2.796932e+04 -2.871531e+09
  2.000000e+04 -2.795932e+04 -2.869316e+09
  2.000000e+04 -2.794932e+04 -2.867101e+09
  2.000000e+04 -2.793931e+04 -2.864886e+09
  2.000000e+04 -2.792931e+04 -2.862672e+09
  2.000000e+04 -2.791931e+04 -2.860457e+09
  2.000000e+04 -2.790930e+04 -2.858242e+09
  2.000000e+04 -2.789930e+04 -2.856027e+09
  2.000000e+04 -2.788930e+04 -2.853812e+09
  2.000000e+04 -2.787929e+04 -2.851597e+09
  2.000000e+04 -2.786929e+04 -2.849383e+09
  2.000000e+04 -2.785929e+04 -2.847168e+09
  2.000000e+04 -2.784928e+04 -2.844953e+09
  2.000000e+04 -2.783928e+04 -2.842738e+09
  2.000000e+04 -2.782928e+04 -2.840523e+09
  2.000000e+04 -2.781927e+04 -2.838308e+09
  2.000000e+04 -2.780927e+04 -2.836094e+09
  2.000000e+04 -2.779927e+04 -2.833879e+09
  2.000000e+04 -2.778926e+04 -2.831664e+09
  2.000000e+04 -2.777926e+04 -2.829449e+09
  2.000000e+04 -2.776926e+04 -2.827234e+09
  2.000000e+04 -2.775925e+04 -2.825019e+09
  2.000000e+04 -2.774925e+04 -2.822805e+09
  2.000000e+04 -2.773925e+04 -2.820590e+09
  2.000000e+04 -2.772924e+04 -2.818375e+09
  2.000000e+04 -2.771924e+04 -2.816160e+09
  2.000000e+04 -2.770924e+04 -2.813945e+09
  2.000000e+04 -2.769923e+04 -2.811730e+09
  2.000000e+04 -2.768923e+04 -2.809516e+09
  2.000000e+04 -2.767923e+04 -2.807301e+09
  2.000000e+04 -2.766922e+04 -2.805086e+09
  2.000000e+04 -2.765922e+04 -2.802871e+09
  2.000000e+04 -2.764922e+04 -2.800656e+09
  2.000000e+04 -2.763921e+04 -2.798441e+09
  2.000000e+04 -2.762921e+04 -2.796227e+09
  2.000000e+04 -2.761921e+04 -2.794012e+09
  2.000000e+04 -2.760920e+04 -2.791797e+09
  2.000000e+04 -2.759920e+04 -2.789582e+09
  2.000000e+04 -2.758920e+04 -2.787367e+09
  2.000000e+04 -2.757919e+04 -2.785152e+09
  2.000000e+04 -2.756919e+04 -2.782938e+09
  2.000000e+04 -2.755919e+04 -2.780723e+09
  2.000000e+04 -2.754918e+04 -2.778508e+09
  2.000000e+04 -2.753918e+04 -2.776293e+09
  2.000000e+04 -2.752918e+04 -2.774078e+09
  2.000000e+04 -2.751917e+04 -2.771863e+09
  2.000000e+04 -2.750917e+04 -2.769649e+09
  2.000000e+04 -2.749917e+04 -2.767434e+09
  2.000000e+04 -2.748916e+04 -2.765219e+09
  2.000000e+04 -2.747916e+04 -2.763004e+09
  2.000000e+04 -2.746916e+04 -2.760789e+09
  2.000000e+04 -2.745915e+04 -2.758574e+09
  2.000000e+04 -2.744915e+04 -2.756360e+09
  2.000000e+04 -2.743915e+04 -2.754145e+09
  2.000000e+04 -2.742914e+04 -2.751930e+09
  2.000000e+04 -2.741914e+04 -2.749715e+09
  2.000000e+04 -2.740914e+04 -2.747500e+09
  2.000000e+04 -2.739913e+04 -2.745285e+09
  2.000000e+04 -2.738913e+04 -2.743071e+09
  2.000000e+04 -2.737913e+04 -2.740856e+09
  2.000000e+04 -2.736912e+04 -2.738641e+09
  2.000000e+04 -2.735912e+04 -2.736426e+09
  2.000000e+04 -2.734912e+04 -2.734211e+09
  2.000000e+04 -2.733911e+04 -2.731996e+09
  2.000000e+04 -2.732911e+04 -2.729782e+09
  2.000000e+04 -2.731911e+04 -2.727567e+09
  2.000000e+04 -2.730910e+04 -2.725352e+09
  2.000000e+04 -2.729910e+04 -2.723137e+09
  2.000000e+04 -2.728910e+04 -2.720922e+09
  2.000000e+04 -2.727909e+04 -2.718707e+09
  2.000000e+04 -2.726909e+04 -2.716493e+09
  2.000000e+04 -2.725909e+04 -2.714278e+09
  2.000000e+04 -2.724908e+04 -2.712063e+09
  2.000000e+04 -2.723908e+04 -2.709848e+09
  2.000000e+04 -2.722908e+04 -2.707633e+09
  2.000000e+04 -2.721907e+04 -2.705418e+09
  2.000000e+04 -2.720907e+04 -2.703204e+09
  2.000000e+04 -2.719907e+04 -2.700989e+09
  2.000000e+04 -2.718906e+04 -2.698774e+09
  2.000000e+04 -2.717906e+04 -2.696559e+09
  2.000000e+04 -2.716906e+04 -2.694344e+09
  2.000000e+04 -2.715905e+04 -2.692129e+09
  2.000000e+04 -2.714905e+04 -2.689915e+09
  2.000000e+04 -2.713905e+04 -2.687700e+09
  2.000000e+04 -2.712904e+04 -2.685485e+09
  2.000000e+04 -2.711904e+04 -2.683270e+09
  2.000000e+04 -2.710904e+04 -2.681055e+09
  2.000000e+04 -2.709903e+04 -2.678840e+09
  2.000000e+04 -2.708903e+04 -2.676626e+09
  2.000000e+04 -2.707903e+04 -2.674411e+09
  2.000000e+04 -2.706902e+04 -2.672196e+09
  2.000000e+04 -2.705902e+04 -2.669981e+09
  2.000000e+04 -2.704902e+04 -2.667766e+09
  2.000000e+04 -2.703901e+04 -2.665551e+09
  2.000000e+04 -2.702901e+04 -2.663337e+09
  2.000000e+04 -2.701901e+04 -2.661122e+09
  2.000000e+04 -2.700900e+04 -2.658907e+09
  2.000000e+04 -2.699900e+04 -2.656692e+09
  2.000000e+04 -2.698900e+04 -2.654477e+09
  2.000000e+04 -2.697899e+04 -2.652262e+09
  2.000000e+04 -2.696899e+04 -2.650048e+09
  2.000000e+04 -2.695899e+04 -2.647833e+09
  2.000000e+04 -2.694898e+04 -2.645618e+09
  2.000000e+04 -2.693898e+04 -2.643403e+09
  2.000000e+04 -2.692898e+04 -2.641188e+09
  2.000000e+04 -2.691897e+04 -2.638973e+09
  2.000000e+04 -2.690897e+04 -2.636759e+09
  2.000000e+04 -2.689897e+04 -2.634544e+09
  2.000000e+04 -2.688896e+04 -2.632329e+09
  2.000000e+04 -2.687896e+04 -2.630114e+09
  2.000000e+04 -2.686896e+04 -2.627899e+09
  2.000000e+04 -2.685895e+04 -2.625684e+09
  2.000000e+04 -2.684895e+04 -2.623470e+09
  2.000000e+04 -2.683895e+04 -2.621255e+09
  2.000000e+04 -2.682894e+04 -2.619040e+09
  2.000000e+04 -2.681894e+04 -2.616825e+09
  2.000000e+04 -2.680894e+04 -2.614610e+09
  2.000000e+04 -2.679893e+04 -2.612395e+09
  2.000000e+04 -2.678893e+04 -2.610181e+09
  2.000000e+04 -2.677893e+04 -2.607966e+09
  2.000000e+04 -2.676892e+04 -2.605751e+09
  2.000000e+04 -2.675892e+04 -2.603536e+09
  2.000000e+04 -2.674892e+04 -2.601321e+09
  2.000000e+04 -2.673891e+04 -2.599106e+09
  2.000000e+04 -2.672891e+04 -2.596892e+09
