#SPATIAL.ascii 1
SimpleDB {
  num-values =      1
  value-names =  initial_amplitude
  value-units =  Pa
  num-locs =   1836
  data-dim =    1
  space-dim =    2
  cs-data = cartesian {
  to-meters = 1
  space-dim = 2
}
}
 -9.455578e+04  0.000000e+00  3.268979e+07
 -9.445578e+04  0.000000e+00  3.268403e+07
 -9.435578e+04  0.000000e+00  3.267823e+07
 -9.425578e+04  0.000000e+00  3.267238e+07
 -9.415578e+04  0.000000e+00  3.266648e+07
 -9.405578e+04  0.000000e+00  3.266054e+07
 -9.395578e+04  0.000000e+00  3.265456e+07
 -9.385578e+04  0.000000e+00  3.264853e+07
 -9.375578e+04  0.000000e+00  3.264245e+07
 -9.365578e+04  0.000000e+00  3.263633e+07
 -9.355578e+04  0.000000e+00  3.263017e+07
 -9.345578e+04  0.000000e+00  3.262396e+07
 -9.335578e+04  0.000000e+00  3.261772e+07
 -9.325578e+04  0.000000e+00  3.261143e+07
 -9.315578e+04  0.000000e+00  3.260510e+07
 -9.305578e+04  0.000000e+00  3.259873e+07
 -9.295578e+04  0.000000e+00  3.259232e+07
 -9.285578e+04  0.000000e+00  3.258587e+07
 -9.275578e+04  0.000000e+00  3.257938e+07
 -9.265578e+04  0.000000e+00  3.257286e+07
 -9.255578e+04  0.000000e+00  3.256629e+07
 -9.245578e+04  0.000000e+00  3.255969e+07
 -9.235578e+04  0.000000e+00  3.255305e+07
 -9.225578e+04  0.000000e+00  3.254637e+07
 -9.215578e+04  0.000000e+00  3.253966e+07
 -9.205578e+04  0.000000e+00  3.253291e+07
 -9.195578e+04  0.000000e+00  3.252613e+07
 -9.185578e+04  0.000000e+00  3.251931e+07
 -9.175578e+04  0.000000e+00  3.251246e+07
 -9.165578e+04  0.000000e+00  3.250558e+07
 -9.155578e+04  0.000000e+00  3.249866e+07
 -9.145578e+04  0.000000e+00  3.249170e+07
 -9.135578e+04  0.000000e+00  3.248472e+07
 -9.125578e+04  0.000000e+00  3.247771e+07
 -9.115578e+04  0.000000e+00  3.247066e+07
 -9.105578e+04  0.000000e+00  3.246358e+07
 -9.095578e+04  0.000000e+00  3.245647e+07
 -9.085578e+04  0.000000e+00  3.244933e+07
 -9.075578e+04  0.000000e+00  3.244217e+07
 -9.065578e+04  0.000000e+00  3.243497e+07
 -9.055578e+04  0.000000e+00  3.242775e+07
 -9.045578e+04  0.000000e+00  3.242049e+07
 -9.035578e+04  0.000000e+00  3.241321e+07
 -9.025578e+04  0.000000e+00  3.240590e+07
 -9.015578e+04  0.000000e+00  3.239857e+07
 -9.005578e+04  0.000000e+00  3.239121e+07
 -8.995578e+04  0.000000e+00  3.238382e+07
 -8.985578e+04  0.000000e+00  3.237641e+07
 -8.975578e+04  0.000000e+00  3.236898e+07
 -8.965578e+04  0.000000e+00  3.236151e+07
 -8.955578e+04  0.000000e+00  3.235403e+07
 -8.945578e+04  0.000000e+00  3.234652e+07
 -8.935578e+04  0.000000e+00  3.233899e+07
 -8.925578e+04  0.000000e+00  3.233144e+07
 -8.915578e+04  0.000000e+00  3.232386e+07
 -8.905578e+04  0.000000e+00  3.231626e+07
 -8.895578e+04  0.000000e+00  3.230865e+07
 -8.885578e+04  0.000000e+00  3.230101e+07
 -8.875578e+04  0.000000e+00  3.229335e+07
 -8.865578e+04  0.000000e+00  3.228567e+07
 -8.855578e+04  0.000000e+00  3.227797e+07
 -8.845578e+04  0.000000e+00  3.227025e+07
 -8.835578e+04  0.000000e+00  3.226251e+07
