			GMRT Grid Version 4.1.1
Longitude	Latitude	Distance (km)	Elevation (m)
-87.2793	9.7922	34.66741	-3151.2312
-87.2785	9.7929	34.787785	-3151.9602
-87.2776	9.7937	34.908157	-3152.7007
-87.2768	9.7944	35.02853	-3153.3591
-87.2760	9.7951	35.148903	-3153.8696
-87.2752	9.7958	35.269276	-3154.188
-87.2743	9.7965	35.38965	-3154.396
-87.2735	9.7972	35.51002	-3154.7188
-87.2727	9.7979	35.630394	-3155.3203
-87.2719	9.7987	35.750767	-3156.348
-87.2710	9.7994	35.87114	-3157.8577
-87.2702	9.8001	35.991512	-3159.7893
-87.2694	9.8008	36.111885	-3161.9731
-87.2686	9.8015	36.232258	-3164.138
-87.2677	9.8022	36.35263	-3165.9595
-87.2669	9.8029	36.473003	-3167.0159
-87.2661	9.8036	36.593376	-3167.0747
-87.2653	9.8044	36.71375	-3166.168
-87.2644	9.8051	36.83412	-3164.4717
-87.2636	9.8058	36.954494	-3162.3792
-87.2628	9.8065	37.074867	-3160.3074
-87.2619	9.8072	37.19524	-3158.6252
-87.2611	9.8079	37.315613	-3157.5369
-87.2603	9.8086	37.435986	-3157.0554
-87.2595	9.8094	37.55636	-3156.9998
-87.2586	9.8101	37.67673	-3157.0188
-87.2578	9.8108	37.797104	-3156.6504
-87.2570	9.8115	37.917477	-3155.3274
-87.2562	9.8122	38.03785	-3152.9497
-87.2553	9.8129	38.158222	-3149.6746
-87.2545	9.8136	38.278595	-3145.8342
-87.2537	9.8144	38.398968	-3141.9736
-87.2529	9.8151	38.51934	-3138.612
-87.2520	9.8158	38.639713	-3136.09
-87.2512	9.8165	38.760086	-3134.5752
-87.2504	9.8172	38.88046	-3134.069
-87.2495	9.8179	39.00083	-3134.3513
-87.2487	9.8186	39.121204	-3134.9282
-87.2479	9.8193	39.241577	-3135.29
-87.2471	9.8201	39.36195	-3135.031
-87.2462	9.8208	39.482323	-3134.1177
-87.2454	9.8215	39.602695	-3132.627
-87.2446	9.8222	39.72307	-3130.864
-87.2438	9.8229	39.84344	-3129.248
-87.2429	9.8236	39.963814	-3128.1648
-87.2421	9.8243	40.084187	-3127.7334
-87.2413	9.8251	40.20456	-3127.9458
-87.2405	9.8258	40.324932	-3128.6543
-87.2396	9.8265	40.445305	-3129.3572
-87.2388	9.8272	40.565678	-3129.6394
-87.2380	9.8279	40.68605	-3129.238
-87.2372	9.8286	40.806423	-3128.125
-87.2363	9.8293	40.926796	-3126.4578
-87.2355	9.8300	41.04717	-3124.4714
-87.2347	9.8308	41.16754	-3122.6814
-87.2338	9.8315	41.287914	-3121.5764
-87.2330	9.8322	41.408287	-3121.5798
-87.2322	9.8329	41.52866	-3122.6409
-87.2314	9.8336	41.649033	-3124.508
-87.2305	9.8343	41.769405	-3126.618
-87.2297	9.8350	41.88978	-3128.3499
-87.2289	9.8358	42.01015	-3129.3936
-87.2281	9.8365	42.130524	-3129.5398
-87.2272	9.8372	42.250896	-3128.752
-87.2264	9.8379	42.37127	-3127.2334
-87.2256	9.8386	42.491642	-3125.2458
-87.2248	9.8393	42.612015	-3123.3223
-87.2239	9.8400	42.732388	-3122.0068
-87.2231	9.8407	42.85276	-3121.8137
-87.2223	9.8415	42.973133	-3122.6313
-87.2215	9.8422	43.093506	-3124.2163
-87.2206	9.8429	43.21388	-3126.209
-87.2198	9.8436	43.33425	-3128.4043
-87.2190	9.8443	43.454624	-3130.6423
-87.2181	9.8450	43.574997	-3132.763
-87.2173	9.8457	43.69537	-3134.6963
-87.2165	9.8465	43.815742	-3136.4517
-87.2157	9.8472	43.936115	-3138.005
-87.2148	9.8479	44.056488	-3139.537
-87.2140	9.8486	44.17686	-3141.2158
-87.2132	9.8493	44.297234	-3143.215
-87.2124	9.8500	44.417606	-3145.4705
-87.2115	9.8507	44.53798	-3147.9404
-87.2107	9.8514	44.65835	-3150.522
-87.2099	9.8522	44.778725	-3153.1287
-87.2091	9.8529	44.899097	-3155.6724
-87.2082	9.8536	45.01947	-3158.03
-87.2074	9.8543	45.139843	-3160.1155
-87.2066	9.8550	45.260216	-3161.842
-87.2057	9.8557	45.38059	-3163.0725
-87.2049	9.8564	45.50096	-3163.7144
-87.2041	9.8572	45.621334	-3163.6208
-87.2033	9.8579	45.741707	-3162.8662
-87.2024	9.8586	45.86208	-3161.5847
-87.2016	9.8593	45.982452	-3159.8833
-87.2008	9.8600	46.102825	-3157.8682
-87.2000	9.8607	46.223198	-3155.6707
-87.1991	9.8614	46.34357	-3153.3982
-87.1983	9.8621	46.463943	-3151.1423
-87.1975	9.8629	46.584316	-3148.993
-87.1967	9.8636	46.70469	-3147.081
-87.1958	9.8643	46.82506	-3145.1936
-87.1950	9.8650	46.945435	-3143.13
-87.1942	9.8657	47.065807	-3140.7075
-87.1934	9.8664	47.18618	-3138.0344
-87.1925	9.8671	47.306553	-3135.1606
-87.1917	9.8679	47.426926	-3132.1594
-87.1909	9.8686	47.5473	-3129.1428
-87.1900	9.8693	47.66767	-3126.274
-87.1892	9.8700	47.788044	-3123.7515
-87.1884	9.8707	47.908417	-3121.7913
-87.1876	9.8714	48.02879	-3120.5852
-87.1867	9.8721	48.149162	-3120.2324
-87.1859	9.8728	48.269535	-3120.6316
-87.1851	9.8736	48.389908	-3121.7173
-87.1843	9.8743	48.51028	-3123.54
-87.1834	9.8750	48.630653	-3125.9001
-87.1826	9.8757	48.751026	-3128.5713
-87.1818	9.8764	48.8714	-3131.2175
-87.1810	9.8771	48.99177	-3133.62
-87.1801	9.8778	49.112144	-3135.6477
-87.1793	9.8785	49.232517	-3137.222
-87.1785	9.8793	49.35289	-3138.2966
-87.1776	9.8800	49.473263	-3138.786
-87.1768	9.8807	49.593636	-3138.5354
-87.1760	9.8814	49.71401	-3137.5654
-87.1752	9.8821	49.83438	-3135.911
-87.1743	9.8828	49.954754	-3133.7173
-87.1735	9.8835	50.075127	-3131.0925
-87.1727	9.8843	50.1955	-3128.1367
-87.1719	9.8850	50.315872	-3124.9404
-87.1710	9.8857	50.436245	-3121.6907
-87.1702	9.8864	50.556618	-3118.7117
-87.1694	9.8871	50.67699	-3116.101
-87.1686	9.8878	50.797363	-3113.8389
-87.1677	9.8885	50.917736	-3111.85
-87.1669	9.8892	51.03811	-3110.1938
-87.1661	9.8900	51.15848	-3108.8616
-87.1652	9.8907	51.278854	-3107.8196
-87.1644	9.8914	51.399227	-3107.006
-87.1636	9.8921	51.5196	-3106.3389
-87.1628	9.8928	51.639973	-3105.801
-87.1619	9.8935	51.760345	-3103.837
-87.1611	9.8942	51.88072	-3098.0757
-87.1603	9.8950	52.00109	-3104.2046
-87.1595	9.8957	52.121464	-3107.9475
-87.1586	9.8964	52.241837	-3110.469
-87.1578	9.8971	52.36221	-3110.3508
-87.1570	9.8978	52.482582	-3108.6675
-87.1562	9.8985	52.602955	-3107.51
-87.1553	9.8992	52.723328	-3106.253
-87.1545	9.8999	52.8437	-3105.4316
-87.1537	9.9007	52.964073	-3104.6995
-87.1528	9.9014	53.084446	-3103.4631
-87.1520	9.9021	53.20482	-3102.1646
-87.1512	9.9028	53.32519	-3100.9985
-87.1504	9.9035	53.445564	-3099.9026
